fecha|nivel|trade_type|price|amount|profit|volatility|rsi|stochrsi_k|stochrsi_d|description
2025-03-03 23:23:58,832|INFO|buy|84101.07|0.00352|0|2.0383959712140434|33.460710580198494|0.16976433870651472|0.13751593944887333|BUY
2025-03-03 23:55:00,392|INFO|buy|84270.77|0.00333|0|3.4863183544740357|34.32836419619062|0.18594876476659095|0.1429107481355654|BUY
2025-03-04 00:26:01,388|INFO|buy|83862.02|0.00318|0|0.8322686334965965|32.69417021589703|0.26468823030372296|0.17987266191957277|BUY
2025-03-04 00:57:02,379|INFO|buy|83594.08|0.00303|0|0.9453725390381029|31.981663149023916|0.2515027331836274|0.17547749621287426|BUY
2025-03-04 01:28:03,381|INFO|buy|84220.84|0.00286|0|0.9791133334928469|35.614189053186294|0.3499234604470498|0.2525458409242593|BUY
2025-03-04 01:59:04,372|INFO|buy|84278.03|0.00271|0|1.0574443141852363|35.919277804479506|0.35548173124006044|0.2543985978552628|BUY
2025-03-04 02:30:05,356|INFO|buy|84227.35|0.00258|0|1.822679788104025|34.99385642688037|0.44187388046447573|0.3677340186341262|BUY
2025-03-04 03:01:06,344|INFO|buy|83900.31|0.00246|0|0.04550181697326045|32.50517977231418|0.708116711381488|0.5812276308621257|BUY
2025-03-04 03:32:07,336|INFO|buy|83580.06|0.00235|0|1.078620750163664|31.49015510870818|0.6737608132864437|0.5697756648304443|BUY
2025-03-04 04:03:08,321|INFO|buy|83189.4|0.00224|0|2.166630331093039|29.70169987591271|0.7074413611125266|0.6935566206557623|BUY
2025-03-04 04:34:09,896|INFO|buy|83788.01|0.00211|0|2.812866424619229|33.577651091957364|0.799609456892834|0.724279319249198|BUY
2025-03-04 05:05:11,454|INFO|buy|83828.0|0.00201|0|0.1451604003953237|34.26635002651152|0.8910057962388986|0.79082264581932|BUY
2025-03-04 05:36:12,450|INFO|buy|83845.56|0.00191|0|0.6125909516723511|34.32533728829942|0.8927161257972616|0.7913927556721077|BUY
2025-03-04 06:07:14,059|INFO|buy|83738.79|0.00181|0|0.24779815245173478|33.72313807642291|0.9674354699847929|0.8864099698106567|BUY
2025-03-04 06:38:15,050|INFO|buy|83841.85|0.00172|0|0.4927304820146919|34.40980242057249|0.984058834331489|0.8919510912595553|BUY
2025-03-04 07:09:16,043|INFO|buy|84080.94|0.00163|0|0.47261851544271305|35.72168057945345|0.9849507163908834|0.9549271272685164|BUY
2025-03-04 07:40:17,037|INFO|buy|83842.32|0.00155|0|1.3395601309980518|34.46534713879355|0.97172072626138|0.950517130558682|BUY
2025-03-04 15:25:27,759|INFO|sell|88383.19|0.00352|15.073062399999984|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:28,106|INFO|sell|88383.19|0.00333|13.694358599999994|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:28,464|INFO|sell|88383.19|0.00318|14.377320599999996|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:29,389|INFO|sell|88383.19|0.00303|14.511003300000002|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:29,740|INFO|sell|88383.19|0.00286|11.904321000000017|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:30,094|INFO|sell|88383.19|0.00271|11.12498360000001|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:30,450|INFO|sell|88383.19|0.00258|10.72206719999999|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
2025-03-04 15:25:31,369|INFO|sell|88383.19|0.00246|11.027884800000011|10.293380170753357|61.94328100353596|1.0|0.9609432405416743|TAKE PROFIT
